# Fused multiply-add sites in MWCC game code (port/tools/fma_scan.py objs).
# file:line function kind count
melee/ft/ftchangeparam.c:92 ftCo_800CF6E8 fmadds 1
melee/ft/ftchangeparam.c:94 ftCo_800CF6E8 fmadds 1
melee/ft/ftchangeparam.c:96 ftCo_800CF6E8 fmadds 1
melee/ft/ftchangeparam.c:98 ftCo_800CF6E8 fmadds 1
melee/ft/ftchangeparam.c:100 ftCo_800CF6E8 fmadds 1
melee/ft/ftchangeparam.c:102 ftCo_800CF6E8 fmadds 1
melee/ft/ftchangeparam.c:104 ftCo_800CF6E8 fmadds 1
melee/ft/ftchangeparam.c:125 ftCo_800D0CBC fmadds 1
melee/ft/ftchangeparam.c:144 ftCo_800D0EC8 fmadds 1
melee/ft/ftcliffcommon.c:122 ftCo_CliffCatch_Phys fmadds 1
melee/ft/ftcoll.c:168 ftColl_80076528 fnmsubs 2
melee/ft/ftcoll.c:430 ftColl_8007699C fmadds 1
melee/ft/ftcoll.c:437 ftColl_8007699C fmadds 1
melee/ft/ftcoll.c:1007 inlineItemA0 fmadds 1
melee/ft/ftcoll.c:1095 ftColl_80077970 fmadds 1
melee/ft/ftcoll.c:2358 ftColl_80079AB0 fmadds 3
melee/ft/ftcoll.c:2367 ftColl_80079AB0 fmadds 3
melee/ft/ftcoll.c:2394 ftColl_80079C70 fmadds 3
melee/ft/ftcoll.c:2422 ftColl_80079C70 fmadds 3
melee/ft/ftcoll.c:2461 ftColl_80079EA8 fmadds 3
melee/ft/ftcoll.c:2473 ftColl_80079EA8 fmadds 3
melee/ft/ftcoll.c:2556 ftColl_8007A06C fmadds 6
melee/ft/ftcoll.c:2617 ftColl_8007A06C fmadds 3
melee/ft/ftcoll.c:2644 ftColl_8007A06C fmadds 3
melee/ft/ftcoll.c:2717 ftColl_8007A06C fmadds 3
melee/ft/ftcoll.c:2745 ftColl_8007A06C fmadds 3
melee/ft/ftcoll.c:2841 ftColl_8007A06C fmsubs 2
melee/ft/ftcommon.c:659 ftCommon_CalcHitlag fmadds 1
melee/ft/ftcommon.c:776 ftCommon_8007DD7C fmadds 2
melee/ft/ftcommon.c:836 ftCommon_8007DFD0 fmadds 2
melee/ft/ftcommon.c:978 ftCommon_8007E3EC fmadds 3
melee/ft/ftcommon.c:1214 ftCommon_8007ED50 fmadds 1
melee/ft/ftcommon.c:1224 ftCommon_8007EE0C fmadds 1
melee/ft/ftcommon.c:1612 ftCommon_8007FDA0 fmadds 1
melee/ft/ftcommon.c:1713 ftCommon_80080174 fmadds 1
melee/ft/ftcpuattack.c:175 ftCo_800B4AB0 fmadd 1
melee/ft/ftcpuattack.c:263 ftCo_800B4AB0 fmadds 2
melee/ft/ftcpuattack.c:277 ftCo_800B4AB0 fmadds 1
melee/ft/ftcpuattack.c:279 ftCo_800B4AB0 fnmsub 3
melee/ft/ftcpuattack.c:280 ftCo_800B4AB0 fnmsub 1
melee/ft/ftcpuattack.c:283 ftCo_800B4AB0 fnmsub 3
melee/ft/ftcpuattack.c:284 ftCo_800B4AB0 fnmsub 1
melee/ft/ftcpuattack.c:290 ftCo_800B4AB0 fmadds 1
melee/ft/ftcpuattack.c:304 ftCo_800B4AB0 fmadds 1
melee/ft/ftcpuattack.c:306 ftCo_800B4AB0 fnmsub 3
melee/ft/ftcpuattack.c:307 ftCo_800B4AB0 fmadds 1
melee/ft/ftcpuattack.c:307 ftCo_800B4AB0 fnmsub 1
melee/ft/ftcpuattack.c:311 ftCo_800B4AB0 fnmsub 3
melee/ft/ftcpuattack.c:312 ftCo_800B4AB0 fmadds 1
melee/ft/ftcpuattack.c:312 ftCo_800B4AB0 fnmsub 1
melee/ft/ftcpuattack.c:318 ftCo_800B4AB0 fmadds 1
melee/ft/ftcpuattack.c:380 ftCo_800B52AC fmadd 1
melee/ft/ftcpuattack.c:471 ftCo_800B52AC fmadds 2
